"","State","V1","V2","V3","V4","pctIn","MnIncome","MnIncomeIn","hhOut","MnIncomeOut","pctOut","deltaPct","deltaInc","Market.Pension.Debt.Household","Highest.Marg..Tax.Rate","State_Local.Sales.Tax","AvgWinterTemp","TAX_PROP","Estate","InherTax","MERICCOLIndex","StatePop","StateSpending","StateOpDef","totalPerwt","meanIncomeAll","pctRetiree","dolOut","dolIn","netDolvStSpend","netDolvOpInc","deathTax"
"11","Tennessee",6153072,187985770996,94091,3011655347,0.0152917111972686,30551.5311694711,32007.9002986471,81092,33825.6073472106,0.0131791079317778,0.0021126032654908,-1817.70704856352,19586,0.06,0.0946,39.1,0.073,NA,NA,89.4,6651194,18806,533215000,26319557,30138.5106675998,0.233783266184913,693177815.630191,761072991.23744,0.000601715548293539,0.0212219509976431,NA
"12","Mississippi",2761710,74397890114,32033,877348207,0.0115989730999996,26939.066778916,27388.8866793619,26308,28892.9479625969,0.00952598209080606,0.00207299100919358,-1504.06128323502,50444,0.05,0.0707,46.7,0.086,NA,NA,85.9,2988726,11481,521159000,11855272,25504.3204312815,0.232952057110119,191625926.497515,221180365.774339,0.000429034045768719,0.00945151072795569,NA
"13","Colorado",3979994,156463430580,82451,3380755358,0.0207163628889893,39312.4790087623,41003.2062437084,74562,36613.9063732196,0.0187341990967826,0.00198216379220672,4389.29987048879,47445,0.0463,0.0752,25.8,0.089,NA,NA,103.8,5540545,24285,1360837000,21183821,38882.7011931889,0.187878947806442,714022346.360339,884223256.748162,0.00116807981873464,0.0208451257556714,NA
"14","Texas",17976610,615413025933,199053,6981069187,0.0110728886035799,34234.0978601082,35071.4090568843,167442,36859.0529257892,0.0093144369266508,0.00175845167692908,-1787.64386890488,30175,0,0.0817,47.9,0.076,NA,NA,90.7,27862596,69152,17039265000,103048068,33658.8611148828,0.174448782484694,1668746234.97638,1887572607.43044,0.000527404298873166,0.00214041286849387,NA
"15","Missouri",5785330,179313137134,76685,2134416141,0.0132550779298674,30994.4527164397,27833.5546847493,71504,34742.9894970911,0.0123595369667763,0.000895540963091128,-6909.43481234178,37530,0.06,0.0786,32.3,0.093,NA,NA,90.4,6093000,16626,578509000,24428219,31546.6188865017,0.236829790988856,619636362.317409,532376001.177695,-0.000874737972048932,-0.0251394421232609,NA
"16","Maine",1457818,43838084248,23652,916473550,0.0162242474712207,30071.0268689233,38748.2475054964,22355,32509.1887273541,0.0153345616531007,0.000889685818119958,6239.05877814231,26764,0.0795,0.055,16.8,0.102,1,NA,110.8,1331479,5189,-27238000,5579644,31708.9864378444,0.261274375211035,173423775.493527,218699487.974582,0.00145422086725301,0.277037670907403,1
"17","Nebraska",1559779,53424237666,22953,707085022,0.0147155462408457,34251.1584436,30805.7779810918,21736,34131.9756624954,0.0139353075018961,0.000780238738949557,-3326.19768140361,24992,0.0684,0.0687,25.7,0.092,NA,1,91.6,1907116,8074,5.32e+08,7389629,34250.9749018523,0.211076767182764,191467703.128975,182484554.883141,-0.000185433660429244,-0.00281426950057465,1
"18","Louisiana",3919570,115470209343,36772,1249014426,0.00938164135351582,29459.9176294849,33966.4534428369,36348,31355.2463684384,0.00927346622206007,0.000108175131455746,2611.20707439852,40406,0.06,0.09,50.9,0.076,NA,NA,94.8,4681666,19580,-1004381000,18456178,30229.3356030701,0.212371705561141,289100866.800519,316829864.325849,0.000236031643899641,0.00460134111214266,NA
"19","Arkansas",2940049,82229153523,40057,1244334772,0.0136246028552585,27968.6336938602,31064.1029532916,40877,25412.1660102258,0.0139035097714358,-0.000278906916177248,5651.93694306576,29883,0.069,0.093,41.5,0.101,NA,NA,87.1,2988248,16502,338960000,11836514,27618.7230641555,0.248388081152948,262248806.397836,314144932.685371,0.000524139763741112,0.0255173306031857,NA
"20","Washington",5763765,215941730365,88003,3252968110,0.0152683185383165,37465.3946448198,36964.2865584128,90613,39906.6249655127,0.0157211475485208,-0.000452829010204268,-2942.33840709989,35443,0,0.0889,33,0.093,1,NA,105.2,7288000,26670,1756082000,28292866,38151.0562957107,0.203717961976705,931465834.896472,837936728.844649,-0.000584483852342347,-0.00887668362979087,1
"21","Kentucky",4365959,126168868559,48244,1540219262,0.0110500350552994,28898.3173133325,31925.612760136,50284,33522.0311033331,0.0115172863510628,-0.000467251295763428,-1596.41834319709,49667,0.06,0.06,35.9,0.095,NA,1,90.5,4436974,19512,-442615000,17763092,28950.3698322905,0.245788233264794,421044948.350033,384725408.154908,-0.000310232508158439,-0.0136761219099838,1
"22","Oklahoma",3455290,109813952033,44273,1281331232,0.0128131068593374,31781.399544756,28941.5949224132,45947,32313.8103031754,0.0132975813896952,-0.0004844745303578,-3372.21538076219,30928,0.0525,0.0882,39.1,0.086,NA,NA,89.2,3923561,14782,946390000,15275830,30603.3996947465,0.226193273949762,381347517.874195,329106912.682136,-0.000589011468814087,-0.00919997837256293,NA
"23","Utah",1686372,59872153769,27912,1100361156,0.0165515082081534,35503.5269614296,39422.5120378332,28913,34162.127485906,0.0171450901699032,-0.000593581961749839,5260.3845519272,33798,0.05,0.0669,28.2,0.096,NA,NA,93,3051217,9310,1470210000,10716605,32498.091773934,0.157360656663188,281225007.594613,313293311.205074,0.000574083487476931,0.00363534275267494,NA
"24","Wisconsin",5282395,164352571169,47945,1556823981,0.00907637539411574,31113.2679720089,32471.03933674,52537,36091.166168605,0.00994567804944537,-0.000869302655329637,-3620.12683186497,34494,0.0765,0.0541,17.2,0.11,NA,NA,96.8,5778708,34275,2134300000,23301691,33689.238706796,0.226695779289151,470229093.740737,386084906.610278,-0.000409162106153459,-0.00657078723160278,NA
